Metric,Felony,Misdemeanor
Filings 2025,1250.0,5789.0
Change since 2024,-13.4349,0.9592
,,
Filings Quarter 4 2025,263.0,1590.0
Change since Quarter 4 2024,-26.1236,4.6741
