District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
21,2017 Q1,605,964,125
21,2017 Q2,634,1125,141
21,2017 Q3,624,1071,160
21,2017 Q4,571,1043,156
21,2018 Q1,613,1087,177
21,2018 Q2,706,1080,182
21,2018 Q3,626,1102,210
21,2018 Q4,597,1077,208
21,2019 Q1,590,1161,143
21,2019 Q2,659,1049,150
21,2019 Q3,660,1153,194
21,2019 Q4,572,1066,152
21,2020 Q1,504,1009,161
21,2020 Q2,404,1451,198
21,2020 Q3,440,1163,147
21,2020 Q4,494,1017,157
21,2021 Q1,503,1092,125
21,2021 Q2,492,1371,172
21,2021 Q3,515,1541,175
21,2021 Q4,463,1728,203
21,2022 Q1,461,1520,187
21,2022 Q2,426,1449,276
21,2022 Q3,412,1405,317
21,2022 Q4,390,1423,322
21,2023 Q1,362,1464,276
21,2023 Q2,385,1428,300
21,2023 Q3,379,1300,379
21,2023 Q4,370,1355,281
21,2024 Q1,345,1443,269
21,2024 Q2,355,1409,322
21,2024 Q3,388,1363,277
21,2024 Q4,356,1519,233
21,2025 Q1,335,1259,249
21,2025 Q2,322,1470,264
21,2025 Q3,330,1470,266
21,2025 Q4,263,1590,240
21,2026 Q1,351,1381,294
21,2026 Q2,298,1264,250
