Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
2020,1693,57,87,1684,546,517,789,1772
2021,1774,78,116,1778,737,516,911,2470
2022,1857,84,106,1622,904,607,886,2522
2023,1846,85,83,1541,919,556,854,2395
2024,2003,84,91,1437,961,572,775,2356
2025,2043,77,99,1166,876,660,780,2357
