District,Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
21,2017,2434,4203,582
21,2018,2542,4346,777
21,2019,2481,4429,639
21,2020,1842,4640,663
21,2021,1973,5732,675
21,2022,1689,5797,1102
21,2023,1496,5547,1236
21,2024,1444,5734,1101
21,2025,1250,5789,1019
