District,Filing Quarter,Number of violent cases filed per quarter
21,2018 Q3,84
21,2019 Q2,93
21,2020 Q4,79
21,2026 Q1,79
21,2025 Q3,83
21,2021 Q3,78
21,2023 Q1,79
21,2017 Q3,88
21,2025 Q4,71
21,2021 Q2,87
21,2019 Q1,57
21,2022 Q2,100
21,2018 Q1,81
21,2019 Q4,79
21,2021 Q1,102
21,2019 Q3,81
21,2024 Q1,71
21,2018 Q2,80
21,2020 Q1,63
21,2023 Q4,100
21,2018 Q4,64
21,2020 Q3,86
21,2017 Q4,63
21,2024 Q3,81
21,2024 Q2,102
21,2026 Q3,0
21,2017 Q1,66
21,2022 Q3,80
21,2025 Q1,76
21,2023 Q2,68
21,2017 Q2,81
21,2020 Q2,71
21,2023 Q3,92
21,2022 Q1,69
21,2024 Q4,72
21,2026 Q2,72
21,2021 Q4,62
21,2025 Q2,87
21,2022 Q4,95
