Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2020,74,51,125,78,44,122,59.2,63.9
2021,80,44,124,81,40,121,64.5,66.9
2022,82,21,103,85,45,130,79.6,65.4
2023,70,26,96,56,45,101,72.9,55.4
2024,46,16,62,53,25,78,74.2,67.9
2025,44,31,75,49,20,69,58.7,71.0
