Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,356,104,460,22.6
2017 Q2,328,115,443,26.0
2017 Q3,356,135,491,27.5
2017 Q4,278,115,393,29.3
2018 Q1,321,119,440,27.0
2018 Q2,279,151,430,35.1
2018 Q3,309,132,441,29.9
2018 Q4,307,95,402,23.6
2019 Q1,301,117,418,28.0
2019 Q2,260,116,376,30.9
2019 Q3,312,160,472,33.9
2019 Q4,298,145,443,32.7
2020 Q1,303,128,431,29.7
2020 Q2,174,70,244,28.7
2020 Q3,260,105,365,28.8
2020 Q4,243,110,353,31.2
2021 Q1,307,107,414,25.8
2021 Q2,285,136,421,32.3
2021 Q3,302,136,438,31.1
2021 Q4,254,113,367,30.8
2022 Q1,266,128,394,32.5
2022 Q2,281,147,428,34.3
2022 Q3,248,117,365,32.1
2022 Q4,218,105,323,32.5
2023 Q1,292,85,377,22.5
2023 Q2,248,64,312,20.5
2023 Q3,260,98,358,27.4
2023 Q4,211,94,305,30.8
2024 Q1,235,98,333,29.4
2024 Q2,226,58,284,20.4
2024 Q3,216,79,295,26.8
2024 Q4,210,86,296,29.1
2025 Q1,250,89,339,26.3
2025 Q2,184,88,272,32.4
2025 Q3,197,80,277,28.9
2025 Q4,202,80,282,28.4
