Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,1110.0,149.0,489.0,242.0,118.0,39.0,2.0,42.0
Change since 2024,-8.41584158,-7.45341615,2.51572327,18.62745098,51.28205128,14.70588235,-33.33333333,5.0
