Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,113,26,4,55,6,79
2020,94,21,3,65,3,71
2021,86,36,2,64,4,70
2022,63,33,2,60,9,76
2023,71,36,2,29,4,66
2024,44,30,2,32,1,40
2025,49,21,0,32,0,42
