Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2017,2,1,3,0,0,0,49,20,69,148,94,242,66.7,,71.0,61.2
2018,1,3,4,1,1,2,40,18,58,133,86,219,25.0,50.0,69.0,60.7
2019,3,2,5,2,0,2,33,26,59,123,93,216,60.0,100.0,55.9,56.9
2020,2,1,3,0,0,0,42,20,62,116,77,193,66.7,,67.7,60.1
2021,4,2,6,1,0,1,49,18,67,117,70,187,66.7,100.0,73.1,62.6
2022,3,2,5,2,0,2,45,25,70,119,44,163,60.0,100.0,64.3,73.0
2023,1,2,3,0,0,0,37,19,56,90,58,148,33.3,,66.1,60.8
2024,1,0,1,0,0,0,30,12,42,72,35,107,100.0,,71.4,67.3
2025,1,1,2,1,0,1,17,22,39,75,35,110,50.0,100.0,43.6,68.2
