District,Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
07,2020,518,106,535,151,119
07,2021,711,119,680,180,126
07,2022,522,104,562,202,145
07,2023,463,105,473,177,91
07,2024,418,103,401,172,62
07,2025,383,92,410,215,107
