Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,1,94,21,3,65,3,71
2021,0,86,36,2,64,4,70
2022,0,63,33,2,60,9,76
2023,1,71,36,2,29,4,66
2024,0,44,30,2,32,1,40
2025,0,49,21,0,32,0,42
