Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,356,104,460,22.60869565
2017 Q2,328,115,443,25.95936795
2017 Q3,356,135,491,27.49490835
2017 Q4,278,115,393,29.26208651
2018 Q1,321,119,440,27.04545455
2018 Q2,279,151,430,35.11627907
2018 Q3,309,132,441,29.93197279
2018 Q4,307,95,402,23.6318408
2019 Q1,301,117,418,27.99043062
2019 Q2,260,116,376,30.85106383
2019 Q3,312,160,472,33.89830508
2019 Q4,298,145,443,32.73137698
2020 Q1,303,128,431,29.69837587
2020 Q2,174,70,244,28.68852459
2020 Q3,260,105,365,28.76712329
2020 Q4,243,110,353,31.16147309
2021 Q1,307,107,414,25.84541063
2021 Q2,285,136,421,32.304038
2021 Q3,302,136,438,31.05022831
2021 Q4,254,113,367,30.79019074
2022 Q1,266,128,394,32.48730964
2022 Q2,281,147,428,34.34579439
2022 Q3,248,117,365,32.05479452
2022 Q4,218,105,323,32.50773994
2023 Q1,292,85,377,22.5464191
2023 Q2,248,64,312,20.51282051
2023 Q3,260,98,358,27.37430168
2023 Q4,211,94,305,30.81967213
2024 Q1,235,98,333,29.42942943
2024 Q2,226,58,284,20.42253521
2024 Q3,216,79,295,26.77966102
2024 Q4,210,86,296,29.05405405
2025 Q1,250,89,339,26.25368732
2025 Q2,185,87,272,31.98529412
2025 Q3,197,80,277,28.88086643
2025 Q4,202,80,282,28.36879433
