Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,19,46,5,30,26,4,10,4,144,26.38888889,31.94444444,41.66666667
2017 Q2,10,49,15,35,15,0,18,2,144,25.69444444,34.02777778,40.27777778
2017 Q3,18,51,19,38,20,0,13,5,164,26.2195122,31.09756098,42.68292683
2017 Q4,10,59,15,28,25,0,11,2,150,20.0,39.33333333,40.66666667
2018 Q1,16,64,19,22,19,1,13,2,156,16.02564103,41.02564103,42.94871795
2018 Q2,13,56,19,37,25,3,11,2,166,25.30120482,33.73493976,40.96385542
2018 Q3,17,52,14,20,23,5,5,6,142,21.83098592,36.61971831,41.54929577
2018 Q4,10,52,22,22,11,1,6,4,128,21.09375,40.625,38.28125
2019 Q1,21,40,21,26,21,2,11,4,146,21.91780822,27.39726027,50.68493151
2019 Q2,13,41,11,23,24,0,10,0,122,18.85245902,33.60655738,47.54098361
2019 Q3,27,33,21,37,26,1,10,2,157,25.47770701,21.01910828,53.50318471
2019 Q4,14,44,12,22,16,1,12,2,123,20.32520325,35.77235772,43.90243902
2020 Q1,9,31,19,30,25,1,10,6,131,28.24427481,23.66412214,48.09160305
2020 Q2,8,33,5,12,10,0,6,0,74,16.21621622,44.59459459,39.18918919
2020 Q3,13,40,13,27,23,1,7,1,125,23.2,32.0,44.8
2020 Q4,15,28,9,19,22,2,6,2,103,22.33009709,27.18446602,50.48543689
2021 Q1,15,33,17,17,26,2,5,2,117,17.94871795,28.20512821,53.84615385
2021 Q2,21,35,13,16,29,0,9,7,130,17.69230769,26.92307692,55.38461538
2021 Q3,10,45,9,31,17,0,8,2,122,27.04918033,36.8852459,36.06557377
2021 Q4,12,40,11,19,15,1,19,1,118,17.79661017,33.89830508,48.30508475
2022 Q1,14,50,3,26,16,3,10,0,122,23.7704918,40.98360656,35.24590164
2022 Q2,21,41,12,30,37,3,6,1,151,22.51655629,27.15231788,50.33112583
2022 Q3,14,42,12,23,39,3,8,4,145,20.68965517,28.96551724,50.34482759
2022 Q4,8,45,10,25,16,0,3,0,107,23.36448598,42.05607477,34.57943925
2023 Q1,19,43,8,19,22,3,6,1,121,19.00826446,35.53719008,45.45454545
2023 Q2,8,44,6,11,21,0,2,0,92,11.95652174,47.82608696,40.2173913
2023 Q3,13,40,6,13,23,0,8,2,105,14.28571429,38.0952381,47.61904762
2023 Q4,14,37,6,23,14,1,3,0,98,24.48979592,37.75510204,37.75510204
2024 Q1,9,43,12,15,13,3,1,0,96,18.75,44.79166667,36.45833333
2024 Q2,12,42,4,11,13,0,0,2,84,15.47619048,50.0,34.52380952
2024 Q3,16,37,1,11,14,1,3,0,83,14.45783133,44.57831325,40.96385542
2024 Q4,6,34,8,23,15,0,5,2,93,26.88172043,36.55913978,36.55913978
2025 Q1,13,63,8,22,15,2,7,2,132,19.6969697,47.72727273,32.57575758
2025 Q2,15,51,7,20,14,2,4,0,113,19.46902655,45.13274336,35.39823009
2025 Q3,12,33,4,18,28,2,9,1,107,19.62616822,30.8411215,49.53271028
2025 Q4,10,43,2,15,12,1,6,0,89,17.97752809,48.31460674,33.70786517
2026 Q1,10,58,5,17,12,1,2,0,105,17.14285714,55.23809524,27.61904762
2026 Q2,5,33,5,12,8,1,6,2,72,20.83333333,45.83333333,33.33333333
