Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,34,30,64,85,53,138,53.1,61.6
2020,44,31,75,80,46,126,58.7,63.5
2021,30,15,45,99,64,163,66.7,60.7
2022,31,18,49,92,41,133,63.3,69.2
2023,30,21,51,62,37,99,58.8,62.6
2024,22,18,40,55,20,75,55.0,73.3
