Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2020,9,4,13,147,111,258,4,2,6,749,290,1039,30.8,43.0,33.3,27.9
2021,25,14,39,219,136,355,1,10,11,858,328,1186,35.9,38.3,90.9,27.7
2022,18,15,33,189,107,296,3,12,15,764,360,1124,45.5,36.1,80.0,32.0
2023,10,4,14,246,79,325,10,3,13,716,248,964,28.6,24.3,23.1,25.7
2024,14,5,19,174,78,252,7,1,8,665,232,897,26.3,31.0,12.5,25.9
2025,16,16,32,189,86,275,5,2,7,587,225,812,50.0,31.3,28.6,27.7
