Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,66,88,154,42.9
2017 Q2,62,58,120,51.7
2017 Q3,66,100,166,39.8
2017 Q4,78,71,149,52.3
2018 Q1,73,70,143,51.0
2018 Q2,72,72,144,50.0
2018 Q3,69,78,147,46.9
2018 Q4,65,68,133,48.9
2019 Q1,78,69,147,53.1
2019 Q2,85,62,147,57.8
2019 Q3,93,95,188,49.5
2019 Q4,110,60,170,64.7
2020 Q1,87,76,163,53.4
2020 Q2,55,48,103,53.4
2020 Q3,61,65,126,48.4
2020 Q4,69,73,142,48.6
2021 Q1,54,70,124,43.5
2021 Q2,77,76,153,50.3
2021 Q3,80,65,145,55.2
2021 Q4,88,52,140,62.9
2022 Q1,72,56,128,56.2
2022 Q2,68,86,154,44.2
2022 Q3,75,67,142,52.8
2022 Q4,55,36,91,60.4
2023 Q1,49,60,109,45.0
2023 Q2,54,58,112,48.2
2023 Q3,44,54,98,44.9
2023 Q4,49,42,91,53.8
2024 Q1,56,44,100,56.0
2024 Q2,48,38,86,55.8
2024 Q3,48,36,84,57.1
2024 Q4,60,32,92,65.2
2025 Q1,64,36,100,64.0
2025 Q2,50,39,89,56.2
2025 Q3,33,38,71,46.5
2025 Q4,42,38,80,52.5
2026 Q1,43,39,82,52.4
2026 Q2,51,34,85,60.0
