Metric,Felony,Misdemeanor
Cases Resolved 2025,564.0,3419.0
Change since 2024,-14.02439024,-4.25651078
,,
Cases Resolved Quarter 4 2025,127.0,869.0
Change since Quarter 4 2024,-14.18918919,5.07859734
