Disposition Quarter,Average number of hearings per case
2017 Q1,8.7313
2017 Q2,7.2995
2017 Q3,7.5
2017 Q4,7.3649
2018 Q1,7.8824
2018 Q2,8.2085
2018 Q3,7.9846
2018 Q4,7.6916
2019 Q1,7.7532
2019 Q2,8.4837
2019 Q3,8.2065
2019 Q4,9.016
2020 Q1,9.1765
2020 Q2,9.6194
2020 Q3,9.7647
2020 Q4,11.0045
2021 Q1,10.3883
2021 Q2,11.6211
2021 Q3,11.6636
2021 Q4,10.0814
2022 Q1,10.7047
2022 Q2,11.5455
2022 Q3,11.0098
2022 Q4,9.9744
2023 Q1,11.3228
2023 Q2,12.0877
2023 Q3,11.05
2023 Q4,10.9514
2024 Q1,10.9755
2024 Q2,10.6102
2024 Q3,10.4036
2024 Q4,9.7838
2025 Q1,10.7593
2025 Q2,11.6099
2025 Q3,11.2538
2025 Q4,10.9921
2026 Q1,10.7273
2026 Q2,11.1127
