Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,4,2,6,71,59,130,4,5,9,277,216,493,66.7,54.6,44.4,56.2
2020,2,0,2,62,62,124,0,3,3,193,193,386,100.0,50.0,0.0,50.0
2021,2,1,3,69,67,136,13,6,19,208,187,395,66.7,50.7,68.4,52.7
2022,4,2,6,49,70,119,5,5,10,210,163,373,66.7,41.2,50.0,56.3
2023,4,0,4,50,56,106,2,3,5,139,148,287,100.0,47.2,40.0,48.4
2024,4,0,4,43,42,85,4,1,5,159,106,265,100.0,50.6,80.0,60.0
2025,2,1,3,48,39,87,5,2,7,132,108,240,66.7,55.2,71.4,55.0
