District,Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
07,2017 Q1,66,88,154,42.85714286
07,2017 Q2,62,58,120,51.66666667
07,2017 Q3,66,100,166,39.75903614
07,2017 Q4,78,71,149,52.34899329
07,2018 Q1,73,70,143,51.04895105
07,2018 Q2,72,72,144,50.0
07,2018 Q3,69,78,147,46.93877551
07,2018 Q4,65,68,133,48.87218045
07,2019 Q1,78,69,147,53.06122449
07,2019 Q2,85,62,147,57.82312925
07,2019 Q3,93,95,188,49.46808511
07,2019 Q4,110,60,170,64.70588235
07,2020 Q1,87,76,163,53.37423313
07,2020 Q2,55,48,103,53.39805825
07,2020 Q3,61,65,126,48.41269841
07,2020 Q4,69,73,142,48.5915493
07,2021 Q1,54,70,124,43.5483871
07,2021 Q2,77,76,153,50.32679739
07,2021 Q3,80,65,145,55.17241379
07,2021 Q4,88,52,140,62.85714286
07,2022 Q1,72,56,128,56.25
07,2022 Q2,68,86,154,44.15584416
07,2022 Q3,75,67,142,52.81690141
07,2022 Q4,55,36,91,60.43956044
07,2023 Q1,49,60,109,44.95412844
07,2023 Q2,54,58,112,48.21428571
07,2023 Q3,44,54,98,44.89795918
07,2023 Q4,49,42,91,53.84615385
07,2024 Q1,56,44,100,56.0
07,2024 Q2,48,38,86,55.81395349
07,2024 Q3,48,36,84,57.14285714
07,2024 Q4,60,32,92,65.2173913
07,2025 Q1,64,36,100,64.0
07,2025 Q2,50,39,89,56.17977528
07,2025 Q3,33,38,71,46.47887324
07,2025 Q4,42,38,80,52.5
07,2026 Q1,43,39,82,52.43902439
07,2026 Q2,49,32,81,60.49382716
