District,Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
07,2017 Q1,222.0664,164.5
07,2017 Q2,208.7023,145.0
07,2017 Q3,181.5292,139.0
07,2017 Q4,189.3364,150.0
07,2018 Q1,199.2682,172.0
07,2018 Q2,195.5872,142.0
07,2018 Q3,188.0881,127.0
07,2018 Q4,204.3559,158.0
07,2019 Q1,180.1681,140.0
07,2019 Q2,216.8443,182.0
07,2019 Q3,200.721,147.5
07,2019 Q4,232.2972,174.0
07,2020 Q1,265.0782,222.0
07,2020 Q2,272.9868,235.0
07,2020 Q3,223.541,182.0
07,2020 Q4,270.9352,245.0
07,2021 Q1,280.9731,224.5
07,2021 Q2,333.8475,265.0
07,2021 Q3,307.0791,252.0
07,2021 Q4,280.9256,238.0
07,2022 Q1,272.7211,217.0
07,2022 Q2,294.4886,264.0
07,2022 Q3,273.9701,208.0
07,2022 Q4,240.6351,187.0
07,2023 Q1,306.1886,258.0
07,2023 Q2,310.9877,260.5
07,2023 Q3,281.3974,221.0
07,2023 Q4,246.3066,184.0
07,2024 Q1,265.0759,201.0
07,2024 Q2,264.8333,227.5
07,2024 Q3,261.327,212.0
07,2024 Q4,238.2138,213.0
07,2025 Q1,249.6398,206.0
07,2025 Q2,267.4857,240.5
07,2025 Q3,294.3858,229.0
07,2025 Q4,270.1048,236.0
07,2026 Q1,271.7612,232.5
07,2026 Q2,245.4559,237.0
