Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Plead/Found Guilty
2019,869,320,323,8,2430
2020,916,259,230,2,1892
2021,1167,538,263,9,2206
2022,943,436,253,6,1932
2023,1336,661,283,8,2020
2024,1055,556,268,9,1683
2025,1044,463,154,9,1751
