Metric,Felony,Misdemeanor
Cases Resolved 2025,566.0,3421.0
Change since 2024,-13.7195122,-4.20050406
,,
Cases Resolved Quarter 4 2025,129.0,870.0
Change since Quarter 4 2024,-12.83783784,5.19951632
