District,Disposition Quarter,Average number of hearings per case
07,2017 Q1,8.7313
07,2017 Q2,7.2995
07,2017 Q3,7.5
07,2017 Q4,7.3649
07,2018 Q1,7.8824
07,2018 Q2,8.2085
07,2018 Q3,7.9846
07,2018 Q4,7.6916
07,2019 Q1,7.7532
07,2019 Q2,8.4837
07,2019 Q3,8.2065
07,2019 Q4,9.016
07,2020 Q1,9.1765
07,2020 Q2,9.6194
07,2020 Q3,9.7647
07,2020 Q4,11.0045
07,2021 Q1,10.3883
07,2021 Q2,11.6211
07,2021 Q3,11.6636
07,2021 Q4,10.0814
07,2022 Q1,10.7047
07,2022 Q2,11.5455
07,2022 Q3,11.0098
07,2022 Q4,9.9744
07,2023 Q1,11.3228
07,2023 Q2,12.0877
07,2023 Q3,11.05
07,2023 Q4,10.9514
07,2024 Q1,10.9755
07,2024 Q2,10.6102
07,2024 Q3,10.4036
07,2024 Q4,9.7838
07,2025 Q1,10.7593
07,2025 Q2,11.6099
07,2025 Q3,11.2538
07,2025 Q4,10.9921
07,2026 Q1,10.7273
07,2026 Q2,11.1127
