District,Metric,Felony,Misdemeanor
06,Filings 2025,477.0,2605.0
06,Change since 2024,3.4707,0.6569
06,,,
06,Filings Quarter 4 2025,112.0,624.0
06,Change since Quarter 4 2024,-5.8824,-6.3063
