Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,592,2821,136
2018,706,3047,163
2019,583,2764,146
2020,539,2290,189
2021,546,2576,196
2022,419,2479,225
2023,505,2219,207
2024,461,2588,215
2025,477,2605,236
