District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
06,2017 Q1,132,837,16
06,2017 Q2,159,637,32
06,2017 Q3,145,721,44
06,2017 Q4,156,626,44
06,2018 Q1,162,807,49
06,2018 Q2,202,781,54
06,2018 Q3,183,745,30
06,2018 Q4,159,714,30
06,2019 Q1,166,728,36
06,2019 Q2,145,694,35
06,2019 Q3,152,703,32
06,2019 Q4,120,639,43
06,2020 Q1,155,731,46
06,2020 Q2,115,425,41
06,2020 Q3,135,591,56
06,2020 Q4,134,543,46
06,2021 Q1,133,612,20
06,2021 Q2,144,650,54
06,2021 Q3,138,702,58
06,2021 Q4,131,612,64
06,2022 Q1,108,683,38
06,2022 Q2,88,652,73
06,2022 Q3,120,644,57
06,2022 Q4,103,500,57
06,2023 Q1,134,545,47
06,2023 Q2,121,528,41
06,2023 Q3,121,538,57
06,2023 Q4,129,608,62
06,2024 Q1,133,624,47
06,2024 Q2,90,575,71
06,2024 Q3,119,723,55
06,2024 Q4,119,666,42
06,2025 Q1,137,655,44
06,2025 Q2,129,655,46
06,2025 Q3,99,671,59
06,2025 Q4,112,624,87
06,2026 Q1,97,640,70
06,2026 Q2,82,632,108
06,2026 Q3,2,10,5
