District,Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
06,2017,592,2821,136
06,2018,706,3047,163
06,2019,583,2764,146
06,2020,539,2290,189
06,2021,546,2576,196
06,2022,419,2479,225
06,2023,505,2219,207
06,2024,461,2588,215
06,2025,477,2605,236
06,2026,181,1282,183
