District,Filing Quarter,Number of violent cases filed per quarter
06,2017 Q1,19
06,2017 Q2,26
06,2017 Q3,18
06,2017 Q4,27
06,2018 Q1,35
06,2018 Q2,24
06,2018 Q3,30
06,2018 Q4,23
06,2019 Q1,25
06,2019 Q2,17
06,2019 Q3,15
06,2019 Q4,14
06,2020 Q1,21
06,2020 Q2,21
06,2020 Q3,26
06,2020 Q4,19
06,2021 Q1,21
06,2021 Q2,28
06,2021 Q3,25
06,2021 Q4,31
06,2022 Q1,17
06,2022 Q2,19
06,2022 Q3,24
06,2022 Q4,17
06,2023 Q1,33
06,2023 Q2,25
06,2023 Q3,35
06,2023 Q4,30
06,2024 Q1,38
06,2024 Q2,19
06,2024 Q3,25
06,2024 Q4,36
06,2025 Q1,32
06,2025 Q2,31
06,2025 Q3,23
06,2025 Q4,19
06,2026 Q1,34
06,2026 Q2,21
06,2026 Q3,0
