Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,132,837,16,985,13.4
2017 Q2,159,637,32,828,19.2
2017 Q3,145,721,44,910,15.9
2017 Q4,156,626,44,826,18.9
2018 Q1,162,807,49,1018,15.9
2018 Q2,202,781,54,1037,19.5
2018 Q3,183,745,30,958,19.1
2018 Q4,159,714,30,903,17.6
2019 Q1,166,728,36,930,17.8
2019 Q2,145,694,35,874,16.6
2019 Q3,152,703,32,887,17.1
2019 Q4,120,639,43,802,15.0
2020 Q1,155,731,46,932,16.6
2020 Q2,115,425,41,581,19.8
2020 Q3,135,591,56,782,17.3
2020 Q4,134,543,46,723,18.5
2021 Q1,133,612,20,765,17.4
2021 Q2,144,650,54,848,17.0
2021 Q3,138,702,58,898,15.4
2021 Q4,131,612,64,807,16.2
2022 Q1,108,683,38,829,13.0
2022 Q2,88,652,73,813,10.8
2022 Q3,120,644,57,821,14.6
2022 Q4,103,500,57,660,15.6
2023 Q1,134,545,47,726,18.5
2023 Q2,121,528,41,690,17.5
2023 Q3,121,538,57,716,16.9
2023 Q4,129,608,62,799,16.1
2024 Q1,133,624,47,804,16.5
2024 Q2,90,575,71,736,12.2
2024 Q3,119,723,55,897,13.3
2024 Q4,119,666,42,827,14.4
2025 Q1,137,655,44,836,16.4
2025 Q2,129,655,46,830,15.5
2025 Q3,99,671,59,829,11.9
2025 Q4,112,624,87,823,13.6
2026 Q1,97,640,70,807,12.0
2026 Q2,82,632,108,822,10.0
