District,Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
11,2017,3393,559,1253
11,2018,3200,556,1279
11,2019,2904,618,1233
11,2020,2842,805,1190
11,2021,2513,775,1064
11,2022,2393,669,975
11,2023,2446,667,973
11,2024,2471,686,970
11,2025,2447,682,939
