Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,4246,151,476,18,9,197,108
2018,4044,142,512,10,14,196,117
2019,3815,139,441,8,14,182,156
2020,3812,170,491,20,22,195,127
2021,3452,138,457,6,16,142,141
2022,3099,130,401,5,15,146,241
2023,2964,136,406,1,23,156,400
2024,2812,102,437,4,18,238,515
2025,2783,110,473,9,33,258,402
