Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,4252,152,472,18,9,195,107
2018,4042,143,513,11,14,195,117
2019,3816,139,441,8,14,180,157
2020,3823,172,486,20,22,185,129
2021,3460,137,457,6,16,135,141
2022,3099,130,398,5,15,147,243
2023,2969,135,402,1,23,154,402
2024,2811,102,438,4,19,234,519
2025,2786,110,475,9,34,249,405
