District,Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
11,2017 Q1,12,32,44,27.27272727,72.72727273
11,2017 Q2,15,26,41,36.58536585,63.41463415
11,2017 Q3,13,39,52,25.0,75.0
11,2017 Q4,8,40,48,16.66666667,83.33333333
11,2018 Q1,5,32,37,13.51351351,86.48648649
11,2018 Q2,16,38,54,29.62962963,70.37037037
11,2018 Q3,13,33,46,28.26086957,71.73913043
11,2018 Q4,13,24,37,35.13513514,64.86486486
11,2019 Q1,5,31,36,13.88888889,86.11111111
11,2019 Q2,9,35,44,20.45454545,79.54545455
11,2019 Q3,10,36,46,21.73913043,78.26086957
11,2019 Q4,17,28,45,37.77777778,62.22222222
11,2020 Q1,14,41,55,25.45454545,74.54545455
11,2020 Q2,14,45,59,23.72881356,76.27118644
11,2020 Q3,24,36,60,40.0,60.0
11,2020 Q4,10,31,41,24.3902439,75.6097561
11,2021 Q1,21,44,65,32.30769231,67.69230769
11,2021 Q2,8,47,55,14.54545455,85.45454545
11,2021 Q3,15,46,61,24.59016393,75.40983607
11,2021 Q4,21,30,51,41.17647059,58.82352941
11,2022 Q1,11,38,49,22.44897959,77.55102041
11,2022 Q2,5,28,33,15.15151515,84.84848485
11,2022 Q3,17,34,51,33.33333333,66.66666667
11,2022 Q4,8,36,44,18.18181818,81.81818182
11,2023 Q1,13,30,43,30.23255814,69.76744186
11,2023 Q2,9,28,37,24.32432432,75.67567568
11,2023 Q3,17,33,50,34.0,66.0
11,2023 Q4,14,26,40,35.0,65.0
11,2024 Q1,6,28,34,17.64705882,82.35294118
11,2024 Q2,15,43,58,25.86206897,74.13793103
11,2024 Q3,15,37,52,28.84615385,71.15384615
11,2024 Q4,19,42,61,31.14754098,68.85245902
11,2025 Q1,10,25,35,28.57142857,71.42857143
11,2025 Q2,8,28,36,22.22222222,77.77777778
11,2025 Q3,12,28,40,30.0,70.0
11,2025 Q4,10,23,33,30.3030303,69.6969697
11,2026 Q1,6,24,30,20.0,80.0
11,2026 Q2,8,27,35,22.85714286,77.14285714
