District,Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Missing/Unknown
11,2017,220,1168,1612,2145,60
11,2018,235,988,1570,2190,52
11,2019,160,989,1467,2096,43
11,2020,217,946,1526,2106,42
11,2021,144,832,1344,1995,37
11,2022,155,711,1231,1917,23
11,2023,191,725,1178,1951,41
11,2024,140,727,1238,1995,27
11,2025,163,687,1090,2115,13
11,2026,71,341,513,1060,1
