Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,3392,559,1254
2018,3200,556,1279
2019,2903,618,1234
2020,2842,805,1190
2021,2513,775,1064
2022,2392,669,976
2023,2444,667,975
2024,2458,691,977
2025,2438,687,943
