District,Filing Year,Male,Female,Another Gender,Unknown/Missing
11,2017,3776,1329,30,70
11,2018,3675,1272,18,70
11,2019,3432,1217,22,84
11,2020,3445,1300,13,79
11,2021,3172,1042,8,130
11,2022,2838,993,15,191
11,2023,2821,1009,13,243
11,2024,2866,1003,18,240
11,2025,2918,1030,12,108
11,2026,1481,475,3,27
