Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,3776,1329,30,70
2018,3675,1272,18,70
2019,3433,1217,21,84
2020,3446,1300,13,78
2021,3172,1042,8,130
2022,2839,993,15,190
2023,2824,1009,13,240
2024,2870,1002,17,237
2025,2918,1030,12,108
