Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,12,32,44,27.3,72.7
2017 Q2,15,26,41,36.6,63.4
2017 Q3,13,39,52,25.0,75.0
2017 Q4,8,40,48,16.7,83.3
2018 Q1,5,32,37,13.5,86.5
2018 Q2,16,38,54,29.6,70.4
2018 Q3,13,33,46,28.3,71.7
2018 Q4,13,24,37,35.1,64.9
2019 Q1,5,31,36,13.9,86.1
2019 Q2,9,35,44,20.5,79.5
2019 Q3,10,36,46,21.7,78.3
2019 Q4,17,28,45,37.8,62.2
2020 Q1,14,41,55,25.5,74.5
2020 Q2,14,45,59,23.7,76.3
2020 Q3,24,36,60,40.0,60.0
2020 Q4,10,31,41,24.4,75.6
2021 Q1,21,44,65,32.3,67.7
2021 Q2,8,47,55,14.5,85.5
2021 Q3,15,46,61,24.6,75.4
2021 Q4,21,30,51,41.2,58.8
2022 Q1,11,38,49,22.4,77.6
2022 Q2,5,28,33,15.2,84.8
2022 Q3,17,34,51,33.3,66.7
2022 Q4,8,36,44,18.2,81.8
2023 Q1,13,30,43,30.2,69.8
2023 Q2,9,28,37,24.3,75.7
2023 Q3,17,33,50,34.0,66.0
2023 Q4,14,26,40,35.0,65.0
2024 Q1,6,28,34,17.6,82.4
2024 Q2,15,42,57,26.3,73.7
2024 Q3,15,37,52,28.8,71.2
2024 Q4,21,40,61,34.4,65.6
2025 Q1,10,25,35,28.6,71.4
2025 Q2,9,27,36,25.0,75.0
2025 Q3,12,28,40,30.0,70.0
2025 Q4,10,23,33,30.3,69.7
2026 Q1,6,24,30,20.0,80.0
2026 Q2,8,27,35,22.9,77.1
