Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,20.0313,21.2143
2017 Q2,17.7105,21.6552
2017 Q3,17.6944,21.7407
2017 Q4,19.4324,20.5357
2018 Q1,22.4,18.9697
2018 Q2,20.5714,20.3448
2018 Q3,21.7222,20.9655
2018 Q4,19.0769,24.3333
2019 Q1,19.4615,19.1667
2019 Q2,18.3611,24.9032
2019 Q3,21.439,18.8293
2019 Q4,21.4722,21.6176
2020 Q1,18.8889,20.6857
2020 Q2,15.2121,14.2609
2020 Q3,13.871,17.0938
2020 Q4,17.2424,14.1515
2021 Q1,17.9677,18.0294
2021 Q2,16.2778,16.7419
2021 Q3,18.8438,15.7308
2021 Q4,17.1212,16.9032
2022 Q1,16.6071,18.5714
2022 Q2,15.1,20.1333
2022 Q3,16.931,18.0417
2022 Q4,16.2424,17.72
2023 Q1,18.1739,17.1563
2023 Q2,17.4667,18.25
2023 Q3,17.4815,18.36
2023 Q4,19.7407,20.2
2024 Q1,20.0,18.3333
2024 Q2,21.8,19.4286
2024 Q3,25.7083,23.0
2024 Q4,21.1667,22.0833
2025 Q1,21.9048,21.5
2025 Q2,20.8333,22.5833
2025 Q3,23.4762,23.65
2025 Q4,24.2,19.913
2026 Q1,25.3333,26.1429
2026 Q2,27.0476,22.75
