Metric,Felony,Misdemeanor
Cases Resolved 2025,1978.0,6793.0
Change since 2024,-8.46830171,6.30672926
,,
Cases Resolved Quarter 4 2025,462.0,1602.0
Change since Quarter 4 2024,-14.28571429,-4.41527446
