Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,219,271,490,44.7
2017 Q2,213,329,542,39.3
2017 Q3,224,273,497,45.1
2017 Q4,192,300,492,39.0
2018 Q1,186,300,486,38.3
2018 Q2,182,278,460,39.6
2018 Q3,175,275,450,38.9
2018 Q4,196,337,533,36.8
2019 Q1,187,241,428,43.7
2019 Q2,289,320,609,47.5
2019 Q3,264,316,580,45.5
2019 Q4,241,312,553,43.6
2020 Q1,208,321,529,39.3
2020 Q2,106,167,273,38.8
2020 Q3,190,226,416,45.7
2020 Q4,133,199,332,40.1
2021 Q1,197,238,435,45.3
2021 Q2,147,276,423,34.8
2021 Q3,119,207,326,36.5
2021 Q4,151,229,380,39.7
2022 Q1,167,232,399,41.9
2022 Q2,146,295,441,33.1
2022 Q3,105,200,305,34.4
2022 Q4,126,210,336,37.5
2023 Q1,164,233,397,41.3
2023 Q2,145,221,366,39.6
2023 Q3,114,220,334,34.1
2023 Q4,133,206,339,39.2
2024 Q1,113,238,351,32.2
2024 Q2,148,231,379,39.1
2024 Q3,132,261,393,33.6
2024 Q4,134,215,349,38.4
2025 Q1,102,213,315,32.4
2025 Q2,139,242,381,36.5
2025 Q3,128,203,331,38.7
2025 Q4,104,193,297,35.0
2026 Q1,134,246,380,35.3
2026 Q2,140,177,317,44.2
