Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,4,1,5,367,463,830,36,41,77,560,667,1227,80.0,44.2,46.8,45.6
2020,1,4,5,220,361,581,36,28,64,369,514,883,20.0,37.9,56.2,41.8
2021,3,3,6,212,329,541,25,57,82,367,552,919,50.0,39.2,30.5,39.9
2022,1,1,2,189,394,583,25,23,48,324,510,834,50.0,32.4,52.1,38.8
2023,3,2,5,215,381,596,24,27,51,302,461,763,60.0,36.1,47.1,39.6
2024,1,5,6,181,422,603,20,31,51,317,479,796,16.7,30.0,39.2,39.8
2025,2,0,2,194,334,528,20,39,59,250,466,716,100.0,36.7,33.9,34.9
