Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,144,201,340,6,19,1534
2021,174,216,294,9,31,1537
2022,186,207,290,10,45,1438
2023,219,189,259,10,42,1397
2024,202,160,312,13,48,1426
2025,210,157,259,19,62,1272
