Disposition Quarter,Average number of hearings per case
2017 Q1,7.6456
2017 Q2,8.029
2017 Q3,7.9788
2017 Q4,7.8984
2018 Q1,7.8922
2018 Q2,7.9522
2018 Q3,7.8267
2018 Q4,8.5478
2019 Q1,8.4319
2019 Q2,8.1453
2019 Q3,8.7452
2019 Q4,8.704
2020 Q1,8.6423
2020 Q2,9.6935
2020 Q3,10.3635
2020 Q4,10.2361
2021 Q1,9.3808
2021 Q2,11.4397
2021 Q3,10.5758
2021 Q4,10.2571
2022 Q1,10.0158
2022 Q2,11.5978
2022 Q3,11.8641
2022 Q4,10.3211
2023 Q1,10.3619
2023 Q2,10.637
2023 Q3,10.6454
2023 Q4,11.3084
2024 Q1,10.358
2024 Q2,10.7339
2024 Q3,10.2378
2024 Q4,9.9287
2025 Q1,10.1712
2025 Q2,10.3364
2025 Q3,10.527
2025 Q4,10.2658
2026 Q1,9.8174
2026 Q2,10.1797
