District,Metric,Felony,Misdemeanor
19,Cases Resolved 2025,1979.0,6790.0
19,Change since 2024,-8.42202684,6.29304947
19,,,
19,Cases Resolved Quarter 4 2025,463.0,1603.0
19,Change since Quarter 4 2024,-14.10018553,-4.35560859
