Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,184.0801,147.5
2017 Q2,192.3691,148.5
2017 Q3,184.8858,145.0
2017 Q4,199.1815,156.0
2018 Q1,192.3396,154.5
2018 Q2,192.9736,156.5
2018 Q3,202.5162,161.0
2018 Q4,208.0875,161.0
2019 Q1,228.6872,194.0
2019 Q2,219.176,169.0
2019 Q3,226.4795,184.0
2019 Q4,222.3984,160.0
2020 Q1,213.7559,176.0
2020 Q2,243.1809,196.0
2020 Q3,283.4538,258.5
2020 Q4,305.1951,288.0
2021 Q1,269.9528,237.0
2021 Q2,299.1783,234.0
2021 Q3,290.4165,215.0
2021 Q4,288.2707,238.0
2022 Q1,301.3443,247.0
2022 Q2,341.8443,289.0
2022 Q3,339.4737,277.5
2022 Q4,320.2234,272.0
2023 Q1,323.9733,271.0
2023 Q2,312.319,263.0
2023 Q3,311.4739,246.0
2023 Q4,335.8106,268.0
2024 Q1,314.3098,251.5
2024 Q2,317.336,256.5
2024 Q3,312.0457,243.0
2024 Q4,286.636,221.0
2025 Q1,299.1499,234.0
2025 Q2,314.2062,267.0
2025 Q3,315.9891,275.0
2025 Q4,299.0327,251.0
2026 Q1,303.2358,262.5
2026 Q2,312.4253,246.0
