District,Disposition Quarter,Average number of hearings per case
19,2017 Q1,7.6456
19,2017 Q2,8.029
19,2017 Q3,7.9788
19,2017 Q4,7.8984
19,2018 Q1,7.8922
19,2018 Q2,7.9522
19,2018 Q3,7.8267
19,2018 Q4,8.5478
19,2019 Q1,8.4319
19,2019 Q2,8.1453
19,2019 Q3,8.7452
19,2019 Q4,8.704
19,2020 Q1,8.6423
19,2020 Q2,9.6935
19,2020 Q3,10.3635
19,2020 Q4,10.2361
19,2021 Q1,9.3808
19,2021 Q2,11.4397
19,2021 Q3,10.5758
19,2021 Q4,10.2571
19,2022 Q1,10.0158
19,2022 Q2,11.5978
19,2022 Q3,11.8641
19,2022 Q4,10.3211
19,2023 Q1,10.3619
19,2023 Q2,10.637
19,2023 Q3,10.6454
19,2023 Q4,11.3084
19,2024 Q1,10.358
19,2024 Q2,10.7339
19,2024 Q3,10.2378
19,2024 Q4,9.9287
19,2025 Q1,10.1712
19,2025 Q2,10.3364
19,2025 Q3,10.527
19,2025 Q4,10.2652
19,2026 Q1,9.8152
19,2026 Q2,10.2685
