Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty,Plead/Found Guilty
2019,977,789,493,40,67,6459,6526
2020,830,666,395,9,44,4455,4499
2021,1465,1095,543,22,34,4827,4861
2022,1319,1146,445,13,32,4973,5005
2023,646,806,455,28,67,4147,4214
2024,869,776,425,46,165,4109,4274
2025,1092,744,486,56,107,4306,4413
