Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,382,280,662,57.70392749,42.29607251
2017 Q2,415,303,718,57.7994429,42.2005571
2017 Q3,378,279,657,57.53424658,42.46575342
2017 Q4,384,277,661,58.09379728,41.90620272
2018 Q1,410,282,692,59.24855491,40.75144509
2018 Q2,385,259,644,59.7826087,40.2173913
2018 Q3,388,259,647,59.9690881,40.0309119
2018 Q4,465,312,777,59.84555985,40.15444015
2019 Q1,394,207,601,65.55740433,34.44259567
2019 Q2,523,301,824,63.47087379,36.52912621
2019 Q3,508,274,782,64.96163683,35.03836317
2019 Q4,462,291,753,61.35458167,38.64541833
2020 Q1,468,257,725,64.55172414,35.44827586
2020 Q2,267,120,387,68.99224806,31.00775194
2020 Q3,450,134,584,77.05479452,22.94520548
2020 Q4,385,107,492,78.25203252,21.74796748
2021 Q1,460,176,636,72.32704403,27.67295597
2021 Q2,409,152,561,72.90552585,27.09447415
2021 Q3,332,117,449,73.94209354,26.05790646
2021 Q4,414,129,543,76.24309392,23.75690608
2022 Q1,420,129,549,76.50273224,23.49726776
2022 Q2,503,107,610,82.45901639,17.54098361
2022 Q3,381,75,456,83.55263158,16.44736842
2022 Q4,374,105,479,78.07933194,21.92066806
2023 Q1,431,94,525,82.0952381,17.9047619
2023 Q2,397,114,511,77.69080235,22.30919765
2023 Q3,349,111,460,75.86956522,24.13043478
2023 Q4,401,90,491,81.6700611,18.3299389
2024 Q1,370,98,468,79.05982906,20.94017094
2024 Q2,400,106,506,79.0513834,20.9486166
2024 Q3,438,109,547,80.07312614,19.92687386
2024 Q4,376,135,511,73.58121331,26.41878669
2025 Q1,361,86,447,80.7606264,19.2393736
2025 Q2,402,112,514,78.21011673,21.78988327
2025 Q3,357,100,457,78.11816193,21.88183807
2025 Q4,335,93,428,78.27102804,21.72897196
2026 Q1,408,122,530,76.98113208,23.01886792
2026 Q2,335,107,442,75.7918552,24.2081448
