Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,75,173,248,90,241,331,30.2,27.2
2021,82,223,305,121,324,445,26.9,27.2
2022,109,224,333,139,282,421,32.7,33.0
2023,122,263,385,181,295,476,31.7,38.0
2024,116,210,326,170,247,417,35.6,40.8
2025,116,195,311,148,195,343,37.3,43.1
