District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
07,2017,1,55,37,8,101,54.45544554,36.63366337
07,2018,4,45,56,15,120,37.5,46.66666667
07,2019,1,66,64,14,145,45.51724138,44.13793103
07,2020,6,43,72,18,139,30.9352518,51.79856115
07,2021,5,66,81,15,167,39.52095808,48.50299401
07,2022,4,59,71,13,147,40.13605442,48.29931973
07,2023,2,46,68,6,122,37.70491803,55.73770492
07,2024,11,63,52,13,139,45.32374101,37.41007194
07,2025,3,43,62,13,121,35.53719008,51.23966942
07,2026,5,24,36,6,71,33.8028169,50.70422535
