Filing Year,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017,1,55,37,8,101,54.5,36.6
2018,4,46,56,14,120,38.3,46.7
2019,1,66,64,14,145,45.5,44.1
2020,6,43,72,18,139,30.9,51.8
2021,5,66,81,15,167,39.5,48.5
2022,4,59,71,13,147,40.1,48.3
2023,2,46,68,6,122,37.7,55.7
2024,11,64,51,13,139,46.0,36.7
2025,3,43,62,13,121,35.5,51.2
