Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,2110,14,32,4,1,471,258
2018,2513,4,68,7,8,368,289
2019,2062,15,94,4,1,553,268
2020,2030,14,245,6,6,596,305
2021,2250,14,217,7,6,444,182
2022,2380,12,345,7,2,448,162
2023,1846,7,388,6,8,368,100
2024,1881,16,333,5,3,534,134
2025,1613,28,300,0,2,516,124
