District,Filing Quarter,Number of violent cases filed involving a child victim
07,2017 Q1,2
07,2017 Q2,2
07,2017 Q3,9
07,2017 Q4,12
07,2018 Q1,7
07,2018 Q2,6
07,2018 Q3,7
07,2018 Q4,4
07,2019 Q1,13
07,2019 Q2,6
07,2019 Q3,10
07,2019 Q4,11
07,2020 Q1,9
07,2020 Q2,8
07,2020 Q3,9
07,2020 Q4,4
07,2021 Q1,16
07,2021 Q2,9
07,2021 Q3,11
07,2021 Q4,10
07,2022 Q1,17
07,2022 Q2,11
07,2022 Q3,11
07,2022 Q4,9
07,2023 Q1,8
07,2023 Q2,10
07,2023 Q3,7
07,2023 Q4,6
07,2024 Q1,5
07,2024 Q2,6
07,2024 Q3,10
07,2024 Q4,7
07,2025 Q1,7
07,2025 Q2,6
07,2025 Q3,6
07,2025 Q4,15
07,2026 Q1,5
07,2026 Q2,8
