Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,82,341,423,276,885,1161,19.38534279,23.77260982
2021,77,379,456,390,1126,1516,16.88596491,25.72559367
2022,88,363,451,376,1030,1406,19.51219512,26.74253201
2023,125,379,504,436,990,1426,24.8015873,30.57503506
2024,144,365,509,399,804,1203,28.29076621,33.16708229
2025,128,383,511,365,728,1093,25.04892368,33.39432754
