Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,2110,14,32,4,1,471,258
2018,2513,4,68,7,8,368,289
2019,2062,15,94,4,1,553,268
2020,2033,14,245,6,6,596,307
2021,2250,14,217,7,6,445,182
2022,2387,12,345,7,2,448,162
2023,1852,7,389,6,8,368,100
2024,1885,16,335,5,3,534,135
2025,1614,28,305,0,2,516,124
