District,Filing Year,Male,Female,Unknown/Missing
07,2017,1256,1356,278
07,2018,1356,1680,221
07,2019,1253,1440,304
07,2020,1337,1558,307
07,2021,1249,1630,241
07,2022,1448,1675,233
07,2023,1156,1273,294
07,2024,1239,1393,274
07,2025,1117,1217,249
