Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,94,45,140,67.1,32.1
2021,95,72,167,56.9,43.1
2022,95,52,149,63.8,34.9
2023,73,49,123,59.3,39.8
2024,95,44,140,67.9,31.4
2025,74,48,123,60.2,39.0
