Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,1,12,8,2,23,52.2,34.8
2017 Q2,0,7,4,1,12,58.3,33.3
2017 Q3,0,20,15,3,38,52.6,39.5
2017 Q4,0,16,10,2,28,57.1,35.7
2018 Q1,2,12,15,2,31,38.7,48.4
2018 Q2,1,13,12,3,29,44.8,41.4
2018 Q3,0,11,18,7,36,30.6,50.0
2018 Q4,1,10,11,2,24,41.7,45.8
2019 Q1,1,16,16,2,35,45.7,45.7
2019 Q2,0,17,9,2,28,60.7,32.1
2019 Q3,0,17,18,7,42,40.5,42.9
2019 Q4,0,16,21,3,40,40.0,52.5
2020 Q1,2,12,17,4,35,34.3,48.6
2020 Q2,1,6,20,3,30,20.0,66.7
2020 Q3,1,18,22,5,46,39.1,47.8
2020 Q4,2,7,13,6,28,25.0,46.4
2021 Q1,0,15,22,4,41,36.6,53.7
2021 Q2,2,21,21,4,48,43.8,43.8
2021 Q3,2,15,21,4,42,35.7,50.0
2021 Q4,1,15,17,3,36,41.7,47.2
2022 Q1,1,18,20,7,46,39.1,43.5
2022 Q2,2,12,20,1,35,34.3,57.1
2022 Q3,0,13,15,3,31,41.9,48.4
2022 Q4,1,16,16,2,35,45.7,45.7
2023 Q1,0,8,21,2,31,25.8,67.7
2023 Q2,1,16,11,1,29,55.2,37.9
2023 Q3,0,9,15,2,26,34.6,57.7
2023 Q4,1,13,21,1,36,36.1,58.3
2024 Q1,6,21,9,3,39,53.8,23.1
2024 Q2,1,8,16,3,28,28.6,57.1
2024 Q3,3,21,13,4,41,51.2,31.7
2024 Q4,1,13,14,3,31,41.9,45.2
2025 Q1,1,12,14,2,29,41.4,48.3
2025 Q2,1,9,17,6,33,27.3,51.5
2025 Q3,1,8,12,2,23,34.8,52.2
2025 Q4,0,14,19,3,36,38.9,52.8
2026 Q1,1,10,18,2,31,32.3,58.1
2026 Q2,4,14,19,4,41,34.1,46.3
