Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,34,124,158,37,186,223,21.5,16.6
2021,41,123,164,64,231,295,25.0,21.7
2022,41,156,197,58,199,257,20.8,22.6
2023,41,149,190,74,193,267,21.6,27.7
2024,33,112,145,61,201,262,22.8,23.3
2025,42,127,169,59,147,206,24.9,28.6
