Filing Year,Male,Female,Unknown/Missing
2017,1256,1356,278
2018,1356,1680,221
2019,1253,1440,304
2020,1338,1559,307
2021,1249,1630,241
2022,1448,1676,233
2023,1157,1273,294
2024,1242,1394,275
2025,1117,1217,250
