DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,0,0,0,,2,9,11,18.2
2019 Q2,2,8,10,20.0,5,19,24,20.8
2020 Q4,0,5,5,0.0,3,14,17,17.6
2025 Q3,2,6,8,25.0,8,33,41,19.5
2021 Q3,0,2,2,0.0,7,15,22,31.8
2023 Q1,1,1,2,50.0,6,17,23,26.1
2017 Q3,1,8,9,11.1,12,24,36,33.3
2025 Q4,1,4,5,20.0,3,16,19,15.8
2021 Q2,0,4,4,0.0,1,16,17,5.9
2019 Q1,0,5,5,0.0,3,14,17,17.6
2022 Q2,1,4,5,20.0,1,8,9,11.1
2018 Q1,1,3,4,25.0,8,24,32,25.0
2019 Q4,0,5,5,0.0,4,16,20,20.0
2021 Q1,0,5,5,0.0,0,14,14,0.0
2019 Q3,0,3,3,0.0,4,7,11,36.4
2024 Q1,0,3,3,0.0,13,31,44,29.5
2018 Q2,0,4,4,0.0,7,16,23,30.4
2020 Q1,0,0,0,,5,10,15,33.3
2023 Q4,2,4,6,33.3,8,34,42,19.0
2018 Q4,0,3,3,0.0,9,7,16,56.2
2020 Q3,0,4,4,0.0,2,16,18,11.1
2017 Q4,2,6,8,25.0,9,14,23,39.1
2024 Q3,1,7,8,12.5,11,32,43,25.6
2024 Q2,3,5,8,37.5,15,39,54,27.8
2017 Q1,1,9,10,10.0,12,26,38,31.6
2022 Q3,0,5,5,0.0,0,22,22,0.0
2025 Q1,0,5,5,0.0,6,42,48,12.5
2023 Q2,0,2,2,0.0,3,19,22,13.6
2017 Q2,0,3,3,0.0,6,23,29,20.7
2020 Q2,1,6,7,14.3,2,6,8,25.0
2023 Q3,0,3,3,0.0,12,27,39,30.8
2022 Q1,0,8,8,0.0,3,10,13,23.1
2024 Q4,1,6,7,14.3,4,29,33,12.1
2025 Q2,0,0,0,,10,44,54,18.5
2021 Q4,0,4,4,0.0,4,20,24,16.7
2022 Q4,1,4,5,20.0,2,23,25,8.0
